stock id,yf id
3288,3288.TWO
3289,3289.TWO
3290,3290.TWO
3293,3293.TWO
3294,3294.TWO
3297,3297.TWO
3303,3303.TWO
3306,3306.TWO
3310,3310.TWO
3313,3313.TWO
3317,3317.TWO
3322,3322.TWO
3323,3323.TWO
3324,3324.TWO
3325,3325.TWO
3332,3332.TWO
3339,3339.TWO
3349,3349.TWO
3354,3354.TWO
3357,3357.TWO
3360,3360.TWO
3362,3362.TWO
3363,3363.TWO
3372,3372.TWO
3373,3373.TWO
3374,3374.TWO
3379,3379.TWO
3388,3388.TWO
3390,3390.TWO
3402,3402.TWO
3426,3426.TWO
3430,3430.TWO
3434,3434.TWO
3438,3438.TWO
3441,3441.TWO
3444,3444.TWO
3455,3455.TWO
3465,3465.TWO
3466,3466.TWO
3479,3479.TWO
3483,3483.TWO
3484,3484.TWO
3489,3489.TWO
3490,3490.TWO
3491,3491.TWO
3492,3492.TWO
3498,3498.TWO
3499,3499.TWO
3508,3508.TWO
3511,3511.TWO
3512,3512.TWO
3516,3516.TWO
3520,3520.TWO
3521,3521.TWO
3522,3522.TWO
3523,3523.TWO
3526,3526.TWO
3527,3527.TWO
3529,3529.TWO
3531,3531.TWO
3537,3537.TWO
3540,3540.TWO
3541,3541.TWO
3546,3546.TWO
3548,3548.TWO
3551,3551.TWO
3552,3552.TWO
3555,3555.TWO
3556,3556.TWO
3558,3558.TWO
3564,3564.TWO
3567,3567.TWO
3570,3570.TWO
3577,3577.TWO
3580,3580.TWO
3581,3581.TWO
3587,3587.TWO
3594,3594.TWO
3597,3597.TWO
3609,3609.TWO
3611,3611.TWO
3615,3615.TWO
3623,3623.TWO
3624,3624.TWO
3625,3625.TWO
3628,3628.TWO
3629,3629.TWO
3630,3630.TWO
3631,3631.TWO
3632,3632.TWO
3646,3646.TWO
3663,3663.TWO
3664,3664.TWO
3666,3666.TWO
3672,3672.TWO
3675,3675.TWO
3680,3680.TWO
3684,3684.TWO
3685,3685.TWO
3687,3687.TWO
3689,3689.TWO
3691,3691.TWO
3693,3693.TWO
3707,3707.TWO
3709,3709.TWO
3710,3710.TWO
3713,3713.TWO
4102,4102.TWO
4105,4105.TWO
4107,4107.TWO
4109,4109.TWO
4111,4111.TWO
4113,4113.TWO
4114,4114.TWO
4116,4116.TWO
4120,4120.TWO
4121,4121.TWO
4123,4123.TWO
4126,4126.TWO
4127,4127.TWO
4128,4128.TWO
4129,4129.TWO
4130,4130.TWO
