代號,證券商名稱,地址
6380,光和,彰化縣北斗鎮光復路166號3、4樓
6381,光和-溪湖,彰化縣溪湖鎮文東街9號1、2樓
6382,光和-田中,彰化縣田中鎮南北街80號3樓
6383,光和-和美,彰化縣和美鎮彰美路五段二五六號三樓
6385,光和-花壇,彰化縣花壇鄉花壇村花壇街273號5樓
6450,永全,桃園縣桃園市縣府路82號1至7樓
6451,永全-南崁,桃園縣蘆竹鄉光明路一段一００號(略)
6452,永全-八德,桃園縣八德市介壽路一段655號1至4樓
6460,大昌,台北縣板橋市東門街30之2號2樓之1(略)
6461,大昌-樹林,台北縣樹林市復興路11號1、2樓(略)
6462,大昌-安康,台北縣新店市安德街70號1、2樓(略)
6463,大昌-新竹,新竹市大同路130號3樓(略)
6464,大昌-新店,台北縣新店市北新路2段108號3樓
6465,大昌-桃園,桃園縣桃園市經國路126號2樓及128號2樓
6480,福邦,台北市南京東路1段52號2樓
6620,全泰,桃園縣桃園市三民路3段317號3、4樓
6910,德信,台北市新生南路一段五十號三樓
6912,德信-中正,台中市中正路四七八號五樓、六樓
6913,德信-新營,台南縣新營市新進路2段109號3樓
6915,德信-和平,台北市和平東路3段208之1號、212巷2號2樓
6950,福勝,台北縣淡水鎮中正路六十三號三、四、五樓
7000,兆豐,台北市忠孝東路2段95號(略)
7001,兆豐-嘉義,嘉義市文化路259號3樓及4樓部分
7003,兆豐-台中,台中市五權西路一段257號7樓部份
7005,兆豐-台中港,台中縣沙鹿鎮沙田路107號2樓
7006,兆豐-台南,台南市忠義路2段14號4、5樓
7007,兆豐-竹北,新竹縣竹北市三民路18、20、22、24號(略)
7008,兆豐-三重,台北縣三重市正義北路195號3樓
7009,兆豐-景美,台北市文山區景中街1號3樓
700B,兆豐-板橋,台北縣板橋市文化路1段268號2樓之1
700C,兆豐-來福,雲林縣斗六市民生路156號8樓
700D,兆豐-西螺,雲林縣西螺鎮中山路127號3樓
700F,兆豐-虎尾,雲林縣虎尾鎮公安路133號4樓
700G,兆豐-麻豆,台南縣麻豆鎮興中路127號3樓
700H,兆豐-東門,台北市金山南路2段33號2樓
700I,兆豐-北高雄,高雄市中正四路235號2樓之1
700J,兆豐-公益,台中市西區館前路55號1樓
700K,兆豐-新營,台南市新營區中營里中山路116號
700L,兆豐-天母,台北市中山北路6段126號3樓部分
700M,兆豐-桃園,桃園縣桃園市成功路2段2號2樓
700N,兆豐-埔墘,台北縣板橋市三民路1段216號2樓
700P,兆豐-南京,台北市南京東路3段65號3樓
700R,兆豐-小港,高雄市小港區漢民路381號2樓
700S,兆豐-大同,台北市民生西路286號3樓
700U,兆豐-桃鶯,桃園縣桃園市桃鶯路343號3、4樓
700V,兆豐-新竹,新竹市中正路129號3樓
700W,兆豐-城中,台北市重慶南路1段2號2樓〈部分〉
700X,兆豐-永和,台北縣永和市保生路1號6樓之1
700Z,兆豐-高雄,高雄市新光路36號1樓
700a,兆豐-忠孝,台北市忠孝東路4段563號3樓、565號4樓
700b,兆豐-中壢,桃園縣中壢市中山路142號8樓、146號8樓
700c,兆豐-民生,台北市民生東路3段128號3樓之2
700d,兆豐-彰化,彰化縣彰化市和平路57號6樓
700f,兆豐-鹿港,彰化縣鹿港鎮彰鹿路8段59號
700g,兆豐-南門,台北市羅斯福路2段9號2樓(部分)
700h,兆豐-三民,高雄市大順二路41號2樓
700i,兆豐-松德,台北市信義區忠孝東路5段510號3樓(略)
700j,兆豐-大安,台北市信義路3段182號3樓、4樓
700k,兆豐-員林,彰化縣員林鎮中山路1段753號3樓
700p,兆豐-復興,台北市復興北路99號8樓之1
700q,兆豐-內湖,台北市內湖區成功路4段166號5樓
700r,兆豐-寶成,台中市西屯區台灣大道4段600號3樓
700s,兆豐-岡山,高雄縣岡山鎮中山北路28號3樓(部分)
700w,兆豐-新莊,台北縣新莊市思源路427號2樓
7030,致和,台南市西門路3段10號地下1樓、1、2、3、4、7樓
7031,致和-台北,台北市信義路4段96號2樓
7032,致和-佳里,台南縣佳里鎮建南里九鄰光復路一四八號
7033,致和-府前,台南市府前路1段141號2、3樓
7034,致和-金華,台南市金華路二段一七二號地下一樓
7035,致和-東門,台北市信義路二段二一三號二樓
7036,致和-高雄,高雄市光華一路148之83號1、2樓
7038,致和-南京,台北市南京東路五段一八八號四樓
703B,致和-崇德,台南市東區中華東路3段242號1、2、3樓
7080,石橋,桃園縣平鎮市環南路一八四號一樓(略)
7750,北城,新北市永和區永和路2段116號3樓
7790,國票,台北市重慶北路3段199號地下1樓及6樓部分(略)
7791,國票-台東,台東縣台東市中華路一段三九七號二樓及三樓部分
7792,國票-北投,台北市北投區北投路2段13號2樓
7795,國票-南港,台北市南港區興中路12巷25號地下1樓
7797,國票-中正,高雄市前金區中正四路211號1樓
7798,國票-內壢,桃園縣中壢市興農路125號3、4樓
779D,國票-台南,台南市成功路114號5樓
779E,國票-南崁,桃園縣蘆竹鄉中正路二九五號三樓之一及三樓之二
779G,國票-新莊,新北市新莊區中華路1段16號地下1層
779H,國票-嘉義,嘉義市垂楊路508號3、4樓
779J,國票-北高雄,高雄市左營區立文路77號2樓
779P,國票-九鼎,台中市北屯路二四五號一樓(略)
779V,國票-天祥,高雄市三民區天祥一路148號
779W,國票-彰化,彰化縣彰化市金馬路三段六五六號一樓
779X,國票-中和,台北縣中和市信義街43號3樓
779Z,國票-安和,台北市大安區信義路四段382號3樓、4樓
779c,國票-敦北,台北市松山區南京東路三段346號2樓
779e,國票-新化,台南縣新化鎮中山路二四三之一號二、三樓
779j,國票-和平,高雄市苓雅區和平一路87號1樓
779m,國票-中港,台中市西區台中港路一段一二號五樓
779n,國票-南京,台北市松山區南京東路五段188號8樓之9
779r,國票-桃園,桃園縣桃園市中正路133號5樓
779u,國票-長城,台北市仁愛路4段85號2樓
779v,國票-台中,台中市西屯區市政北一路1號7樓
779z,國票-博愛,台北市博愛路38號2樓
8150,台新,台北市中山北路二段44號2樓
